Distance,Launcher Velocity (ticks/s),Ramp Angle (0-1)
108.181,1306,0.42
106.368,1306,0.42
104.043,1306,0.42
101.378,1306,0.42
99,1302,0.42
96.61,1299,0.42
94.656,1297,0.42
91.34,1297,0.42
89.994,1292,0.42
88.074,1290,0.42
86.914,1290,0.42
85.666,1287,0.42
84.48,1287,0.42
82.819,1287,0.42
80.84,1285,0.41
79.161,1285,0.41
78.165,1285,0.41
77.258,1285,0.41
75.9,1283,0.41
74.452,1283,0.41
73.439,1281,0.41
70.971,1278,0.41
68.521,1278,0.41
66.666,1276,0.41
64.416,1276,0.42
62.023,1273,0.42
59.762,1269,0.43
57.185,1269,0.43
109.238,1330,0.42
111.587,1330,0.42
113.813,1340,0.42
115.907,1363,0.42
117.51,1363,0.42
148.723,1521,0.4
164.606,1584,0.39
141.166,1513,0.4
146.616,1517,0.4
152.908,1531,0.4
157.349,1546,0.4
160.533,1564,0.4
143.656,1517,0.4
140.066,1503,0.4
136.992,1498,0.4
